Phase,Phase definition,Tools,Executed actions,Output,Completion checks,Pitfall indicators,Other
"Phase 0: Program Scope & Standards","Define reusable taxonomy, data contracts, risk tiers, and done criteria across apps.","Architecture inventory scripts; rg; route extractors; schema validators","Lock scope per app/component; define source/hop/sink/lineage semantics; define event vocabulary and DB contracts.","scope.yaml; taxonomy.md; contracts.json; done_criteria.json","All required fields/enums finalized; app onboarding checklist complete; no ambiguous terms remain.","Conflicting terminology across teams; changing schema mid-run; unclear ownership.","Multi-app baseline. Magento is first adopter but contracts are framework-agnostic."
"Phase 1: Component Pack Build (Async)","Independently taint-map reusable components (frameworks, plugins, JS libs, SDKs, DB adapters) without full app traffic tracing.","AST instrumentor; CodeQL; Semgrep taint mode; Joern; unit/synthetic harnesses","Discover functions; inject probes/hooks; run static taint and synthetic component tests; generate component map artifacts.","component_pack_<name>.db; component_manifest.json","Scope lock pass; instrumentation coverage target met; critical chokepoints present.","Overclaiming completeness from static results only; missing dynamic dispatch paths; plugin interception blind spots.","Build once, reuse across many apps. Strong speed-up lever."
"Phase 1A: Component Certification","Verify each component pack is reliable and reusable.","Synthetic deterministic tests; negative controls; reproducibility checks; schema contract tests","Run tainted and non-tainted synthetic cases; validate parent-child taint links through transforms; compare repeated runs.","cert_report.json","Coverage threshold met (e.g., >=98% function instrumentation, 100% critical chokepoints); deterministic run stability within tolerance.","High false positives; unstable counts; broken transform chains.","Pack marked Certified/Conditional/Failed before registry publication."
"Phase 2: Component Registry & Versioning","Store certified packs with compatibility metadata for cross-app reuse.","Artifact registry (S3/GCS/Artifactory); metadata index; checksum tools","Publish pack + manifest + cert report; index by version, framework version, language, and confidence.","pack_registry.json; signed artifact bundle","All packs have provenance, hash, version, compat matrix, and rollback reference.","Unversioned packs; drift between runtime code and pack version.","Supports independent async refresh jobs (nightly/diff-based)."
"Phase 3: App Surface Inventory","Map app-specific routes/endpoints/schemas and boundary assets without deep replay.","Route parsers; OpenAPI/GraphQL schema parsers; sitemap extractors; rg","Extract HTTP routes, workers, queues, webhooks, CLI entrypoints; classify auth contexts and actor reachability.","routes.json; api_endpoints.json; entrypoint_catalog.json","All known entrypoint types captured; actor contexts assigned; no unknown route families.","Missing async consumers; missing admin-only paths; undocumented internal APIs.","Use same process for Magento and future apps."
"Phase 4: Graph Composition (Pack + App Glue)","Compose app map by merging certified component packs with app-specific glue code and static findings.","Lineage composer; graph merge engine; SQLite/Neo4j loaders","Join component nodes/edges with app routes/controllers/templates/services; annotate edge provenance (pack vs app).","appmap_composed.db; composed_graph.json","No orphan high-value nodes; provenance tags complete; sink contexts populated.","Namespace mismatches; edge duplication; contradictory sink typing.","This is the default fast mode replacing full traffic tracing as primary path."
"Phase 5: Targeted Runtime Verification (Minimal)","Run small replay set to confirm critical composed joins and de-risk dynamic behavior.","Playwright; MFTF; API replay runner; synthetic taint requests","Execute 5-20 high-value flows per app/module; verify source->boundary->sink links for critical chains only.","runtime_trace_min.db; verification_delta.json","Preflight pass; required event vocabulary observed; critical joins confirmed or explicitly downgraded.","Using full crawl by default (slow); no preflight; stale environment/config differences.","Minimal runtime verification keeps speed while preserving trust."
"Phase 6: Production Traffic Capture","Capture real production-like traffic safely for later replay and map deepening.","NGINX/Envoy access logs; OpenTelemetry collectors; Kafka/PubSub taps; New Relic transaction traces; APM span export","Record request metadata, headers/body subsets, route params, timing, actor context, and downstream call graph metadata.","traffic_capture_bundle (logs/spans/metadata); capture_manifest.json","Sampling policy documented; sensitive fields policy applied; replay-required fields present; capture completeness score passes.","Missing correlation IDs; payload truncation; no downstream span linkage.","Tools that can record traffic for replay: Envoy tap, NGINX logs + body mirror, AWS ALB logs + app logs, OTel collector, New Relic trace/span export, commercial API gateways (Kong/Apigee) traffic logs."
"Phase 7: Replay at Scale","Replay captured traffic in isolated environment to deepen coverage and map hidden paths.","Shadow/staging replay harness; tcpcopy/goreplay (GoReplay); custom HTTP/API replayers; queue replay tools","Normalize captured traffic; rehydrate auth/session tokens in test env; replay by cohort; collect runtime events and service spans.","runtime_trace_replay.db; replay_report.json","Replay success rate threshold met; critical error budget respected; map coverage delta positive.","Non-idempotent actions not sandboxed; broken auth/session recreation; environment skew.","For async systems replay queue payloads too (Kafka/SQS/Rabbit) with deterministic ordering windows."
"Phase 8: Cross-Service Flow Mapping (New Relic + OTel)","Add service-to-service lineage across internal APIs, queues, and external dependencies.","New Relic APM/Distributed Tracing/Service Map; OpenTelemetry traces","Ingest span graphs; correlate app taint chains with service edges via trace IDs and route/resource names.","service_flow_map.json; cross_service_edges.db","Each critical lineage has service-edge context where applicable; unresolved service hops listed.","Trace sampling too low; missing trace propagation headers; clock skew across services.","New Relic gives service graph + transaction traces; use it to tie sources/sinks across services and prioritize verification targets."
"Phase 9: Correlation & Contradiction Resolution","Reconcile static, composed, runtime-min, replay, and service-map results.","Correlator; diff engine; rule-based adjudication","Classify findings into CONFIRMED/SUSPECTED/STATIC_ONLY/RUNTIME_ONLY/CONTRADICTED; generate gap worklist.","correlation.json; contradiction_log.json; gap_backlog.csv","No unresolved critical contradictions; high-risk paths have final status.","Treating STATIC_ONLY as true positives by default; ignoring runtime-only evidence.","AI triage focuses here for maximum analyst leverage."
"Phase 10: AI Adjudication & Tool QA","Use agents to make sense of result sets, detect tool bugs, and propose targeted fixes.","LLM agent + deterministic validators; SQL checks; schema linters","Summarize evidence per lineage; detect impossible states; identify suspected tool bugs/hook failures; propose next 1-2 highest ROI fixes.","ai_adjudication_report.md; tool_bug_candidates.json; fix_plan.json","Every AI claim linked to concrete evidence rows/files; no unsupported assertions.","Hallucinated routes/findings; no provenance links; overconfident confidence scoring.","Guardrail: require evidence-linked outputs only (row IDs, file paths, trace IDs)."
"Phase 11: Gap Closure Iterations","Close top-ranked gaps quickly with targeted hook/replay updates.","Instrumentation patches; focused replays; automated regression checks","Apply minimal changes; rerun only affected flow cohorts; measure confidence and coverage deltas.","iteration_<n>_delta.json","Stop rule met: diminishing returns or target confidence/coverage reached.","Large unfocused reruns; changing many variables per iteration.","Typical cadence: 1-3 focused iterations per app/module slice."
"Phase 12: Golden Snapshot & Merge Readiness","Freeze reusable map artifacts for org-wide sharing and downstream security analysis.","Packaging scripts; integrity/FK checks; vocabulary alignment checks","Bundle runtime/appmap/correlation/manifest/provenance; run integrity checks; publish immutable snapshot.","golden_gift_<date>/ (DBs + manifests + reports)","Integrity check OK; FK checks clean; vocabulary alignment pass; provenance complete.","Snapshot missing manifest; inconsistent counts between reports and DB.","Designed for merging with existing instrumentation and future production replay runs."
"Phase 13: Operations for Multi-App Expansion","Templatize onboarding so new apps can run the same pipeline with minimal custom work.","Onboarding templates; pack compatibility matrix; scheduler/orchestrator","Create per-app config only (routes, auth, replay adapters); reuse certified packs; schedule async pack refresh + app runs.","app_onboarding_<app>.yaml; runbook.md","New app can run end-to-end without custom schema changes.","Per-app snowflake logic; no shared contracts; no version pinning.","This is the long-term scale mechanism for org-wide adoption beyond Magento."
